"","source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"339","Epithelial 3","Unknown","ANGPTL4","CDH11",0.0128727319456315,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"340","Epithelial 4","Unknown","ANGPTL4","CDH11",0.0286509176839073,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"341","Epithelial 5","Unknown","ANGPTL4","CDH11",0.00816055994409815,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"342","Epithelial 6","Unknown","ANGPTL4","CDH11",0.0286509176839073,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"343","Unknown","Unknown","ANGPTL4","CDH11",0.00816055994409815,0,"ANGPTL4_CDH11","ANGPTL4 - CDH11","ANGPTL","Secreted Signaling","PMID: 30049845"
"344","Epithelial 1","Epithelial 3","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"345","Epithelial 2","Epithelial 3","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"346","Epithelial 3","Epithelial 3","ANGPTL4","SDC1",0.00186552248227367,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"347","Epithelial 4","Epithelial 3","ANGPTL4","SDC1",0.00420964015455655,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"348","Epithelial 5","Epithelial 3","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"349","Epithelial 6","Epithelial 3","ANGPTL4","SDC1",0.00420964015455655,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"350","Unknown","Epithelial 3","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"351","Epithelial 1","Epithelial 5","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"352","Epithelial 2","Epithelial 5","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"353","Epithelial 3","Epithelial 5","ANGPTL4","SDC1",0.00186552248227367,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"354","Epithelial 4","Epithelial 5","ANGPTL4","SDC1",0.00420964015455655,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"355","Epithelial 5","Epithelial 5","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"356","Epithelial 6","Epithelial 5","ANGPTL4","SDC1",0.00420964015455655,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"357","Unknown","Epithelial 5","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"358","Epithelial 1","Epithelial 6","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"359","Epithelial 2","Epithelial 6","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"360","Epithelial 3","Epithelial 6","ANGPTL4","SDC1",0.00186552248227367,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"361","Epithelial 4","Epithelial 6","ANGPTL4","SDC1",0.00420964015455655,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"362","Epithelial 5","Epithelial 6","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"363","Epithelial 6","Epithelial 6","ANGPTL4","SDC1",0.00420964015455655,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"364","Unknown","Epithelial 6","ANGPTL4","SDC1",0.00117782458266272,0,"ANGPTL4_SDC1","ANGPTL4 - SDC1","ANGPTL","Secreted Signaling","PMID: 29017031"
"365","Epithelial 1","Epithelial 1","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"366","Epithelial 2","Epithelial 1","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"367","Epithelial 3","Epithelial 1","ANGPTL4","SDC2",0.00295356007463217,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"368","Epithelial 4","Epithelial 1","ANGPTL4","SDC2",0.00665573216829058,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"369","Epithelial 5","Epithelial 1","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"370","Epithelial 6","Epithelial 1","ANGPTL4","SDC2",0.00665573216829058,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"371","Unknown","Epithelial 1","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"372","Epithelial 1","Epithelial 2","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"373","Epithelial 2","Epithelial 2","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"374","Epithelial 3","Epithelial 2","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"375","Epithelial 4","Epithelial 2","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"376","Epithelial 5","Epithelial 2","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"377","Epithelial 6","Epithelial 2","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"378","Unknown","Epithelial 2","ANGPTL4","SDC2",0.00117782458266272,0.03,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"379","Epithelial 1","Epithelial 3","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"380","Epithelial 2","Epithelial 3","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"381","Epithelial 3","Epithelial 3","ANGPTL4","SDC2",0.00295356007463217,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"382","Epithelial 4","Epithelial 3","ANGPTL4","SDC2",0.00665573216829058,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"383","Epithelial 5","Epithelial 3","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"384","Epithelial 6","Epithelial 3","ANGPTL4","SDC2",0.00665573216829058,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"385","Unknown","Epithelial 3","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"386","Epithelial 1","Epithelial 4","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"387","Epithelial 2","Epithelial 4","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"388","Epithelial 3","Epithelial 4","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"389","Epithelial 4","Epithelial 4","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"390","Epithelial 5","Epithelial 4","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"391","Epithelial 6","Epithelial 4","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"392","Unknown","Epithelial 4","ANGPTL4","SDC2",0.00117782458266272,0.03,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"393","Epithelial 1","Stellate","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"394","Epithelial 2","Stellate","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"395","Epithelial 3","Stellate","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"396","Epithelial 4","Stellate","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"397","Epithelial 5","Stellate","ANGPTL4","SDC2",0.00117782458266272,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"398","Epithelial 6","Stellate","ANGPTL4","SDC2",0.00420964015455655,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"399","Unknown","Stellate","ANGPTL4","SDC2",0.00117782458266272,0.03,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"400","Epithelial 1","Epithelial 5","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"401","Epithelial 2","Epithelial 5","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"402","Epithelial 3","Epithelial 5","ANGPTL4","SDC2",0.00295356007463217,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"403","Epithelial 4","Epithelial 5","ANGPTL4","SDC2",0.00665573216829058,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"404","Epithelial 5","Epithelial 5","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"405","Epithelial 6","Epithelial 5","ANGPTL4","SDC2",0.00665573216829058,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
"406","Unknown","Epithelial 5","ANGPTL4","SDC2",0.00186552248227367,0,"ANGPTL4_SDC2","ANGPTL4 - SDC2","ANGPTL","Secreted Signaling","PMID: 29017031"
