Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
CentralHep,5,51.22,CPS1|ADH1B|PID1|PLG|ASGR1|AOX1|ACSM2B|SOX5|CYP2C9|ACSM2A|MLXIPL|CYP4F3|A1CF|AGXT|CYB5A|CYP3A5|CUX2|MAT1A|BHMT|MGST1|ALDH1L1,1120
Cholangiocyte,5,15.09,CYP3A5|HINT1|RPL9|RPL3|RPS7|RPS18|PTPRK|FARP1,1120
cvLSECs,5,8.57,CD36|RELN|PLCB1,1120
Erythroid,5,7.14,FBXO7,1120
InfMac,5,4.55,FTL|RPL10|RPS27,1120
InterHep,5,42.11,PLG|APOA2|ASGR1|ACSM2B|ACSM2A|AGXT|CYB5A|CYP3A5,1120
NKTcell,5,7.69,RPS27|MALAT1,1120
NonInfMac,5,4.35,RPL3|RPS7,1120
PortalEndo,5,6.38,PLPP1|PLCB1|DUSP1,1120
PortalHep,5,36.84,PLG|ASGR1|ACSM2B|ACSM2A|MLXIPL|AGXT|CYP3A5,1120
Stellate,5,9.52,SOX5|NR1H4,1120
Bcells,6,0,,356
CentralHep,6,2.44,CYP2C8,356
Cholangiocyte,6,0,,356
cvLSECs,6,2.86,HSP90B1,356
Erythroid,6,7.14,UBB,356
InfMac,6,3.03,SAT1|SERP1,356
InterHep,6,5.26,MT2A,356
NKTcell,6,3.85,ID2,356
NonInfMac,6,2.17,SAT1,356
PortalEndo,6,2.13,HSP90B1,356
PortalHep,6,0,,356
Stellate,6,0,,356
Bcells,7,0,,354
CentralHep,7,4.88,ABCC3|SHROOM3,354
Cholangiocyte,7,26.42,PKHD1|ANXA4|THSD4|FGFR2|MAML2|ABCC3|ANK3|GLIS3|PTPRK|SOX6|MAGI1|FARP1|NFIB|SLC17A4,354
cvLSECs,7,11.43,MYO10|TACC1|ACSM3|NTN4,354
Erythroid,7,0,,354
InfMac,7,0,,354
InterHep,7,0,,354
NKTcell,7,3.85,PARP8,354
NonInfMac,7,0,,354
PortalEndo,7,6.38,CRIM1|TACC1|PTPRG,354
PortalHep,7,0,,354
Stellate,7,19.05,ANK3|MYO10|CRIM1|PTPRG,354
Bcells,8,0,,309
CentralHep,8,2.44,TPRG1,309
Cholangiocyte,8,1.89,MAML2,309
cvLSECs,8,2.86,MRC1,309
Erythroid,8,0,,309
InfMac,8,18.18,SLC8A1|ZEB2|PLXDC2|AOAH|TBXAS1|SRGN|CD163|PSAP|CD74|CTSS|SAT1|SLC11A1,309
InterHep,8,0,,309
NKTcell,8,11.54,PTPRC|CELF2|ARHGAP15,309
NonInfMac,8,30.43,SLC8A1|KCNMA1|ZEB2|FMN1|PLXDC2|TBXAS1|MSR1|CD163|CELF2|MERTK|MS4A6A|CTSB|SAT1|C1QB,309
PortalEndo,8,0,,309
PortalHep,8,0,,309
Stellate,8,0,,309
Bcells,9,0,,100
CentralHep,9,0,,100
Cholangiocyte,9,0,,100
cvLSECs,9,0,,100
Erythroid,9,0,,100
InfMac,9,1.52,AOAH,100
InterHep,9,0,,100
NKTcell,9,19.23,PTPRC|FYN|PARP8|ARHGAP15|CELF2,100
NonInfMac,9,2.17,CELF2,100
PortalEndo,9,0,,100
PortalHep,9,0,,100
Stellate,9,0,,100
Bcells,10,8.33,RPL3|RPL9|EEF1B2|RPS7,1254
CentralHep,10,48.78,CPS1|ACSM2A|SOX5|PLG|ADH1B|PID1|ACSM2B|CUX2|CYB5A|GPC6|CYP3A5|MGST1|AOX1|MAT1A|AGXT|BHMT|ASGR1|MLXIPL|CYP2C9|SCP2,1254
Cholangiocyte,10,18.87,MAML2|ANK3|RPL3|RPS18|RPL9|CYP3A5|HINT1|SOX6|RPS7|PTPRK,1254
cvLSECs,10,22.86,CD36|KALRN|TACC1|TFPI|RELN|MIR99AHG|PLCB1|LIFR,1254
Erythroid,10,0,,1254
InfMac,10,12.12,SLC8A1|ZEB2|PLXDC2|FTL|NEAT1|VCAN|RPS27|RPL10,1254
InterHep,10,47.37,APOA2|ACSM2A|PLG|ACSM2B|CYB5A|GPC6|CYP3A5|AGXT|ASGR1,1254
NKTcell,10,15.38,RPS27|MALAT1|EEF1B2|PARP8,1254
NonInfMac,10,10.87,SLC8A1|ZEB2|PLXDC2|RPL3|RPS7,1254
PortalEndo,10,34.04,IGFBP7|RBMS3|AKT3|KALRN|TACC1|CRIM1|PRSS23|PLPP1|TFPI|ASAP1|MEIS2|PLCB1|BMPR2|LIFR|ZEB1|TIMP3,1254
PortalHep,10,42.11,ACSM2A|PLG|NEAT1|ACSM2B|CYP3A5|AGXT|ASGR1|MLXIPL,1254
Stellate,10,76.19,IGFBP7|RBMS3|CRISPLD2|ADAMTS2|ANK3|CALD1|DMD|ARHGAP10|COL4A2|SOX5|GRK5|GPC6|CRIM1|RBPMS|NR1H4|LIFR,1254
