Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
cvLSECs,7,5.71,MYO10|TACC1,320
Erythroid,7,0,,320
InfMac,7,0,,320
InterHep,7,0,,320
NKTcell,7,3.85,PARP8,320
NonInfMac,7,0,,320
PortalEndo,7,6.38,CRIM1|TACC1|PTPRG,320
PortalHep,7,0,,320
Stellate,7,19.05,ANK3|MYO10|CRIM1|PTPRG,320
Bcells,8,0,,305
CentralHep,8,2.44,TPRG1,305
Cholangiocyte,8,1.89,MAML2,305
cvLSECs,8,2.86,MRC1,305
Erythroid,8,0,,305
InfMac,8,18.18,SLC8A1|ZEB2|PLXDC2|TBXAS1|AOAH|CD163|SRGN|PSAP|CD74|SAT1|CTSS|SLC11A1,305
InterHep,8,0,,305
NKTcell,8,11.54,PTPRC|CELF2|ARHGAP15,305
NonInfMac,8,30.43,SLC8A1|ZEB2|KCNMA1|FMN1|PLXDC2|TBXAS1|MSR1|CD163|MERTK|CELF2|CTSB|MS4A6A|SAT1|C1QB,305
PortalEndo,8,0,,305
PortalHep,8,0,,305
Stellate,8,0,,305
Bcells,9,0,,1372
CentralHep,9,82.93,CYP2B6|SOX5|GPC6|BHMT|SORBS2|CYP2C8|CYP3A5|SHROOM3|CYP2C9|TPRG1|ACSM2A|ABCB4|MAT1A|CPS1|PLG|A1CF|ACSL1|CFH|ECHDC2|ADRA1A|CYP4F3|CYP3A4|CP|PTGR1|ACSM2B|CYB5A|AGXT|MLXIPL|C5|ALDH1L1|SCP2|C3|CUX2|ABCC3,1372
Cholangiocyte,9,22.64,SORBS2|CYP3A5|PKHD1|MAGI1|PTPRK|SLC17A4|GLIS3|SOX6|THSD4|NFIB|FARP1|ABCC3,1372
cvLSECs,9,11.43,MIR99AHG|HECW2|PPFIBP1|TFPI,1372
Erythroid,9,7.14,MAP2K3,1372
InfMac,9,0,,1372
InterHep,9,78.95,CYP2B6|ESR1|GPC6|SORBS2|ALDOB|CYP3A5|ACSM2A|PLG|CFH|ECHDC2|CP|ACSM2B|CYB5A|AGXT|C3,1372
NKTcell,9,3.85,ID2,1372
NonInfMac,9,0,,1372
PortalEndo,9,10.64,HECW2|EPAS1|PLPP3|TFPI|ZEB1,1372
PortalHep,9,68.42,CYP2B6|ESR1|ALDOB|CYP3A5|ACSM2A|PLG|CFH|ECHDC2|CP|ACSM2B|AGXT|MLXIPL|C3,1372
Stellate,9,33.33,SOX5|GPC6|DMD|RBPMS|NR1H4|SORBS1|CALD1,1372
Bcells,10,0,,103
CentralHep,10,0,,103
Cholangiocyte,10,1.89,ANK3,103
cvLSECs,10,0,,103
Erythroid,10,0,,103
InfMac,10,1.52,AOAH,103
InterHep,10,0,,103
NKTcell,10,19.23,PTPRC|FYN|ARHGAP15|PARP8|CELF2,103
NonInfMac,10,2.17,CELF2,103
PortalEndo,10,0,,103
PortalHep,10,0,,103
Stellate,10,4.76,ANK3,103
Bcells,11,6.25,RPL9|RPS7|RPL3,1015
CentralHep,11,41.46,CPS1|ASGR1|ADH1B|AOX1|PLG|ACSM2B|PID1|CYP4F3|AGXT|MLXIPL|CYP2C9|A1CF|ACSM2A|CYB5A|MAT1A|SOX5|MGST1,1015
