Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
CentralHep,2,65.85,CYP3A4|CYP2B6|SOX5|ACSM2A|ALDH1L1|ACSM2B|ADH1B|PLG|CYP2C9|CYP2C8|CYP3A5|CYB5A|BHMT|CPS1|ORM1|ASGR1|AGXT|AOX1|MAT1A|PID1|ABCB4|MLXIPL|ACSL1|ADRA1A|C3|TPRG1|SAA1,178
Cholangiocyte,2,33.96,CYP3A5|RPS18|RPL3|RPS23|RPL8|RPL18|RPL41|RPL29|RPS4X|RPS5|RPS27A|HINT1|NACA|RPL9|GAPDH|RPS7|RPLP0|EEF1A1,178
cvLSECs,2,0,,178
Erythroid,2,0,,178
InfMac,2,15.15,FTL|RPL13|RPL10|RPS2|RPS19|RPL19|RPS14|RPS27|RPL28|RPL13A,178
InterHep,2,63.16,APOA2|CYP2B6|ACSM2A|ACSM2B|PLG|CYP3A5|CYB5A|ASGR1|ALDOB|AGXT|C3|ESR1,178
NKTcell,2,3.85,RPS27,178
NonInfMac,2,13.04,RPL3|RPL29|NACA|GAPDH|RPS7|RPLP0,178
PortalEndo,2,0,,178
PortalHep,2,73.68,CYP2B6|ACSM2A|ACSM2B|PLG|CYP3A5|APOC1|ORM1|ASGR1|ALDOB|AGXT|MLXIPL|C3|ESR1|SAA1,178
Stellate,2,4.76,SOX5,178
Bcells,3,0,,305
CentralHep,3,2.44,GPC6,305
Cholangiocyte,3,5.66,MAML2|ANK3|GLIS3,305
cvLSECs,3,2.86,KALRN,305
Erythroid,3,0,,305
InfMac,3,4.55,PLXDC2|ZEB2|VIM,305
InterHep,3,5.26,GPC6,305
NKTcell,3,3.85,CELF2,305
NonInfMac,3,6.52,PLXDC2|ZEB2|CELF2,305
PortalEndo,3,14.89,RBMS3|IGFBP7|TIMP1|KALRN|AKT3|PRSS23|CRIM1,305
PortalHep,3,0,,305
Stellate,3,61.9,RBMS3|IGFBP7|CRISPLD2|COL4A2|CALD1|DMD|ANK3|ARHGAP10|ADAMTS2|GRK5|GPC6|HGF|CRIM1,305
Bcells,4,91.67,EEF1A1|RPL8|RPS23|RPL3|RPLP0|RPL35|RPL29|RPL36|RPL6|RPL18|RPL37|RPL7A|RPL9|RPL18A|RPS17|RPS7|RPS16|RPL30|RPS4X|FAU|RPS20|RPS5|RPL15|RPL11|NACA|RPL7|RPL14|RPL4|PTMA|RPL24|RPL10A|RPS21|RPS3A|RPS26|RPL5|RPSA|RPL27|EEF1B2|RPS13|RPS25|RPL22|EEF1D|TOMM7|RPL31,332
CentralHep,4,7.32,ORM1|SAA1|C3,332
Cholangiocyte,4,69.81,GAPDH|EEF1A1|RPS18|RPL41|RPL8|RPS23|RPL3|RPLP0|RPL35|RPL29|RPL6|RPL18|RPS27A|SERF2|RPL37|RPL7A|RPL9|RPS7|RPS4X|RPS5|RPL15|COX7C|RPL11|NACA|RPL7|RPS8|RPL14|RPL4|RPL10A|RPS3A|RPS3|RPS26|RPL5|HINT1|NDUFA4|RPS25|RPL22,332
cvLSECs,4,8.57,PPIA|HSP90B1|NDUFA4,332
Erythroid,4,7.14,UBB,332
InfMac,4,51.52,FTL|RPL13|RPL39|RPS2|RPS19|RPL10|RPS14|RPL28|RPL13A|RPL19|RPS24|RPS15|RPL18A|RPL32|RPL34|CYBA|RPL12|RPS27|B2M|RPS9|COX7C|ACTB|RPS8|RPLP2|PTMA|TMSB10|RPL35A|ACTG1|CST3|SRP14|PPIA|PSAP|H3F3A|S100A6,332
InterHep,4,26.32,APOA2|MT2A|MT1G|C3|ALDOB,332
NKTcell,4,50,RPS27|B2M|COX4I1|COX7C|UQCRB|RPL4|TMSB10|ACTG1|RPS21|RPS3|PPIA|EEF1B2|HLA-A,332
NonInfMac,4,65.22,MT-ND5|GAPDH|RPL3|RPLP0|RPL29|RPL6|RPL7A|RPS17|RPS7|RPL30|RPS20|COX4I1|COX7C|UQCRB|NACA|RPL14|RPL4|TMSB10|ACTG1|RPL10A|RPS21|RPS26|PPIA|RPL5|RPSA|RPL22|EEF1D|PFN1|TOMM7|CTSB,332
PortalEndo,4,19.15,IFITM3|SERF2|COX7C|UQCRB|RPL4|RPS3A|HSP90B1|TIMP1|PFN1,332
PortalHep,4,31.58,FGB|APOC1|ORM1|SAA1|C3|ALDOB,332
Stellate,4,0,,332
Bcells,5,8.33,RPL3|RPL9|RPS7|RPS5,1136
CentralHep,5,48.78,CPS1|ADH1B|PID1|PLG|ASGR1|AOX1|ACSM2B|SOX5|CYP2C9|MLXIPL|ACSM2A|CYP4F3|A1CF|AGXT|CYB5A|CYP3A5|CUX2|MAT1A|BHMT|MGST1,1136
Cholangiocyte,5,16.98,CYP3A5|PTPRK|HINT1|RPL3|RPL9|RPS7|RPS18|FARP1|RPS5,1136
cvLSECs,5,8.57,CD36|RELN|PLCB1,1136
Erythroid,5,7.14,FBXO7,1136
InfMac,5,6.06,FTL|RPL10|RPS27|RPS19,1136
InterHep,5,42.11,APOA2|PLG|ASGR1|ACSM2B|ACSM2A|AGXT|CYB5A|CYP3A5,1136
NKTcell,5,7.69,RPS27|MALAT1,1136
NonInfMac,5,4.35,RPL3|RPS7,1136
PortalEndo,5,8.51,PLPP1|PLCB1|DUSP1|MEIS2,1136
PortalHep,5,36.84,PLG|ASGR1|ACSM2B|MLXIPL|ACSM2A|AGXT|CYP3A5,1136
Stellate,5,9.52,SOX5|NR1H4,1136
Bcells,6,0,,365
CentralHep,6,0,,365
Cholangiocyte,6,0,,365
cvLSECs,6,2.86,HSP90B1,365
Erythroid,6,7.14,UBB,365
InfMac,6,3.03,SAT1|SERP1,365
InterHep,6,5.26,MT2A,365
NKTcell,6,3.85,ID2,365
NonInfMac,6,2.17,SAT1,365
PortalEndo,6,2.13,HSP90B1,365
PortalHep,6,0,,365
Stellate,6,0,,365
Bcells,7,0,,339
CentralHep,7,4.88,ABCC3|SHROOM3,339
Cholangiocyte,7,26.42,PKHD1|ANXA4|THSD4|FGFR2|ABCC3|MAML2|ANK3|GLIS3|PTPRK|SOX6|MAGI1|FARP1|NFIB|SLC17A4,339
cvLSECs,7,8.57,MYO10|TACC1|NTN4,339
Erythroid,7,0,,339
InfMac,7,0,,339
InterHep,7,0,,339
NKTcell,7,3.85,PARP8,339
NonInfMac,7,0,,339
PortalEndo,7,6.38,CRIM1|TACC1|PTPRG,339
PortalHep,7,0,,339
Stellate,7,19.05,ANK3|MYO10|CRIM1|PTPRG,339
Bcells,8,0,,311
CentralHep,8,2.44,TPRG1,311
Cholangiocyte,8,1.89,MAML2,311
cvLSECs,8,2.86,MRC1,311
Erythroid,8,0,,311
InfMac,8,18.18,SLC8A1|ZEB2|PLXDC2|AOAH|TBXAS1|SRGN|CD163|PSAP|CD74|CTSS|SAT1|SLC11A1,311
InterHep,8,0,,311
NKTcell,8,11.54,PTPRC|CELF2|ARHGAP15,311
NonInfMac,8,30.43,SLC8A1|KCNMA1|ZEB2|FMN1|PLXDC2|TBXAS1|MSR1|CD163|CELF2|MERTK|MS4A6A|CTSB|SAT1|C1QB,311
PortalEndo,8,0,,311
PortalHep,8,0,,311
Stellate,8,0,,311
Bcells,9,0,,111
CentralHep,9,0,,111
Cholangiocyte,9,1.89,ANK3,111
cvLSECs,9,0,,111
Erythroid,9,0,,111
InfMac,9,1.52,AOAH,111
InterHep,9,0,,111
NKTcell,9,19.23,PTPRC|FYN|PARP8|ARHGAP15|CELF2,111
NonInfMac,9,2.17,CELF2,111
PortalEndo,9,0,,111
PortalHep,9,0,,111
Stellate,9,4.76,ANK3,111
Bcells,10,0,,158
CentralHep,10,2.44,SORBS2,158
Cholangiocyte,10,18.87,FGFR2|PKHD1|ANK3|THSD4|MAML2|ANXA4|SORBS2|SOX6|MAGI1|PTPRK,158
cvLSECs,10,8.57,ACSM3|MYO10|TACC1,158
Erythroid,10,0,,158
InfMac,10,0,,158
InterHep,10,5.26,SORBS2,158
NKTcell,10,0,,158
NonInfMac,10,0,,158
PortalEndo,10,2.13,TACC1,158
PortalHep,10,0,,158
Stellate,10,9.52,ANK3|MYO10,158
