Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
cvLSECs,13,14.29,MIR99AHG|HECW2|PPFIBP1|TFPI|NTN4,1642
Erythroid,13,14.29,FBXO7|MAP2K3,1642
InfMac,13,1.52,NEAT1,1642
InterHep,13,84.21,CYP2B6|ESR1|ACSM2A|ACSM2B|ALDOB|CYP3A5|GPC6|CYB5A|PLG|SORBS2|ECHDC2|CFH|CP|AGXT|ASGR1|C3,1642
NKTcell,13,3.85,ID2,1642
NonInfMac,13,0,,1642
PortalEndo,13,17.02,PLPP3|HECW2|EPAS1|PLPP1|ZEB1|DUSP1|TFPI|TIMP3,1642
PortalHep,13,78.95,CYP2B6|ESR1|ACSM2A|ACSM2B|ALDOB|CYP3A5|PLG|ECHDC2|MLXIPL|CFH|CP|NEAT1|AGXT|ASGR1|C3,1642
Stellate,13,33.33,SOX5|GPC6|DMD|SORBS1|CALD1|NR1H4|RBPMS,1642
Bcells,14,0,,860
CentralHep,14,58.54,CYP3A5|ACSM2B|ACSM2A|SOX5|PID1|ASGR1|CYP2B6|CYP2C9|CYP4F3|PLG|MLXIPL|MAT1A|A1CF|CUX2|BHMT|CFH|SORBS2|CYB5A|ABCB4|AOX1|ADH1B|CPS1|GPC6|TPRG1,860
Cholangiocyte,14,11.32,CYP3A5|MAGI1|NFIB|PTPRK|SORBS2|FARP1,860
cvLSECs,14,71.43,FLT1|LDB2|ST6GALNAC3|ACSM3|PLCB1|PPFIBP1|ST6GAL1|PTPRB|KALRN|RELN|HECW2|DNASE1L3|STAB2|PREX2|TACC1|MYO10|LIFR|OIT3|NOSTRIN|MRC1|EGFL7|MIR99AHG|CD36|ANKS1A|TFPI,860
Erythroid,14,0,,860
InfMac,14,3.03,NEAT1|FTL,860
InterHep,14,63.16,CYP3A5|ACSM2B|ACSM2A|ASGR1|CYP2B6|PLG|CFH|SORBS2|CYB5A|GPC6|ESR1|APOA2,860
NKTcell,14,7.69,FYN|MALAT1,860
NonInfMac,14,0,,860
PortalEndo,14,61.7,FLT1|LDB2|ST6GALNAC3|TCF4|PLCB1|ST6GAL1|PTPRB|CALCRL|KALRN|HECW2|PLPP3|DNASE1L3|TACC1|LIFR|AKT3|NOSTRIN|RBMS3|HSPG2|EGFL7|BMPR2|ASAP1|ZEB1|IGFBP7|MEIS2|TIMP3|EPAS1|PLPP1|TFPI|PTPRG,860
PortalHep,14,52.63,CYP3A5|ACSM2B|ACSM2A|ASGR1|CYP2B6|PLG|MLXIPL|CFH|NEAT1|ESR1,860
Stellate,14,57.14,MYO10|LIFR|RBMS3|SORBS1|SOX5|IGFBP7|GRK5|COL4A2|PTPRG|NR1H4|GPC6|RBPMS,860
Bcells,15,8.33,RPL11|RPL31|RPL3|RPL8,405
CentralHep,15,12.2,MGST1|SORBS2|CPS1|ORM1|CYP2C9,405
Cholangiocyte,15,13.21,SORBS2|RPL11|RPL41|RPL3|GAPDH|NDUFA4|RPL8,405
cvLSECs,15,8.57,HSP90B1|TFPI|NDUFA4,405
Erythroid,15,0,,405
InfMac,15,6.06,S100A6|B2M|SAT1|NEAT1,405
InterHep,15,5.26,SORBS2,405
NKTcell,15,11.54,MALAT1|B2M|UQCRB,405
