name,summary.logFC,FDR,p.value,self.average,other.average,self.detected,other.detected,cluster
FKBP8,0.751529234,5.15086E-08,3.56887E-08,1.088310292,0.139626012,0.606060606,0.09801341,Erythroid
BNIP3L,0.614716193,0.000128459,0.000112882,0.741008495,0.192116004,0.409090909,0.134256191,Erythroid
FBXO7,0.58543586,0.000423677,0.000383348,0.791100838,0.229018573,0.5,0.189697515,Erythroid
ADIPOR1,0.581628703,0.000245516,0.000219393,0.667369224,0.090423382,0.393939394,0.076454564,Erythroid
GLRX5,0.543513724,0.000163709,0.000144831,0.653805243,0.113603015,0.393939394,0.099991766,Erythroid
MAP2K3,0.432733819,0.003832297,0.003636495,0.562176416,0.170449236,0.318181818,0.137858137,Erythroid
DCAF12,0.419435009,0.003403431,0.003221711,0.480781262,0.080465209,0.287878788,0.072404282,Erythroid
FAM210B,0.418771712,0.003749644,0.003556267,0.499175187,0.077810745,0.318181818,0.066043247,Erythroid
STRADB,0.413875597,0.000138283,0.000121859,0.460488843,0.129021323,0.333333333,0.120616992,Erythroid
S100A9,2.442374698,0,0,2.536666087,0.144044778,0.642286417,0.067339463,InfMac
ACTG1,2.380220386,2.9668E-122,2.8127E-123,1.292253015,0.530493247,0.516287646,0.289458101,InfMac
S100A8,2.317579947,0,0,2.372890357,0.098379665,0.597418562,0.049916906,InfMac
CFL1,2.17405855,9.5099E-152,6.5453E-153,1.165748979,0.371068043,0.473878304,0.189845922,InfMac
SAT1,2.090744339,0,0,2.685498031,0.893462641,0.851259988,0.446842607,InfMac
TMSB10,2.083543562,0,0,2.675712165,0.839290723,0.666256915,0.294673678,InfMac
TMSB4X,2.002196544,0,0,2.920550832,1.218439871,0.706822372,0.42234174,InfMac
LYZ,1.973169503,0,0,1.976333557,0.071138599,0.658881377,0.035712114,InfMac
COX7C,1.907928445,1.68046E-91,2.17629E-92,1.264090883,0.61765584,0.50829748,0.27142866,InfMac
S100A6,1.841494858,0,0,2.053544467,0.262066726,0.618930547,0.11163642,InfMac
TYROBP,1.809944473,0,0,1.988443285,0.215911817,0.642286417,0.083983549,InfMac
S100A4,1.78130054,0,0,1.970734616,0.196011791,0.606023356,0.079099147,InfMac
HLA-B,1.711463212,0,0,2.203369982,0.763579114,0.727105101,0.335230205,InfMac
PPIA,1.690332878,2.03104E-86,2.80553E-87,0.977635573,0.49557052,0.438229871,0.279443645,InfMac
VCAN,1.673167728,3.7764E-258,9.91874835825967e-260,1.671430016,0.057231791,0.564228642,0.036151939,InfMac
CST3,1.660542769,0,0,2.128249134,0.716972057,0.667486171,0.336521668,InfMac
CTSS,1.569851581,0,0,1.710634494,0.168268861,0.650891211,0.101846769,InfMac
SRGN,1.542021935,0,0,1.700405105,0.339295389,0.617086663,0.150777066,InfMac
PSAP,1.505191318,0,0,1.911289373,0.555213301,0.698217578,0.315490627,InfMac
ACTB,1.494706428,0,0,2.622031748,1.075171384,0.727105101,0.449482842,InfMac
AIF1,1.491531029,0,0,1.543527976,0.144038639,0.546404425,0.05787984,InfMac
B2M,1.46076331,0,0,2.873234806,1.615109711,0.800860479,0.621891382,InfMac
RPL28,1.458255695,0,0,2.38807301,0.986728438,0.650276583,0.374517404,InfMac
CD163,1.444580833,1.0997E-259,2.8357E-261,1.468820153,0.231429815,0.598647818,0.097179223,InfMac
CYBA,1.435403255,0,0,1.60795548,0.320846126,0.595574677,0.149021324,InfMac
UQCRH,1.421611309,4.51556E-67,7.65724E-68,0.829518586,0.316762511,0.387215734,0.193066252,InfMac
RPS2,1.417937684,0,0,2.261453843,0.970522297,0.663183774,0.386224023,InfMac
ZEB2,1.392970284,1.5983E-206,6.6034E-208,1.337692382,0.34226817,0.51813153,0.164106336,InfMac
LGALS1,1.375941254,2E-298,4.76953261671809e-300,1.528945887,0.183899394,0.523048556,0.090287922,InfMac
TBXAS1,1.366606034,1.421E-142,1.0856E-143,0.974402811,0.207602795,0.389674247,0.113799241,InfMac
RPS8,1.359357901,0,0,2.251350467,0.999604774,0.632452366,0.370958759,InfMac
VIM,1.35893837,6.9708E-278,1.5168E-279,1.525885696,0.251619879,0.552550707,0.117568775,InfMac
RPS27,1.355903263,0,0,2.699085911,1.287153531,0.633681623,0.382278253,InfMac
RAC1,1.355798358,1.21496E-73,1.91235E-74,0.842437923,0.416844206,0.405039951,0.269618311,InfMac
RPS9,1.349558382,0,0,2.300600206,0.966104305,0.71112477,0.438936209,InfMac
RPL34,1.346773834,0,0,2.609400513,1.236587081,0.655808236,0.404720098,InfMac
RPS24,1.336706427,0,0,2.226811159,0.906364374,0.653964352,0.381644369,InfMac
CD74,1.324272609,3.6085E-234,1.1692E-235,1.447412227,0.266037265,0.537799631,0.120503246,InfMac
AOAH,1.30773939,1.0156E-136,8.2755E-138,0.866478914,0.236164594,0.344806392,0.130544755,InfMac
RPS15,1.300850682,0,0,2.236412217,0.997074899,0.640442532,0.378464205,InfMac
NEAT1,1.300533329,1.1265E-237,3.5204E-239,3.421746003,3.031156574,0.947756607,0.790830057,InfMac
PLXDC2,1.299710785,5.49126509813722e-110,5.8692E-111,0.894082802,0.405463336,0.330055317,0.20307174,InfMac
RPL12,1.294879418,0,0,2.285750631,0.985169047,0.62138906,0.346672364,InfMac
SH3BGRL3,1.293575719,2.8577E-283,5.9444E-285,1.534519269,0.288565802,0.540258144,0.141845534,InfMac
RPL13A,1.293268831,0,0,2.516207618,1.271721135,0.677934849,0.456740129,InfMac
CEBPB,1.291353792,2.81465E-72,4.50042E-73,0.797897539,0.314621601,0.382913337,0.216336491,InfMac
RPLP2,1.290925537,0,0,2.393457767,1.182412642,0.648432698,0.433131409,InfMac
FTL,1.28719525,0,0,3.824554318,2.405309124,0.850030731,0.782603562,InfMac
SERP1,1.277944709,6.9087E-77,1.05895E-77,0.723137992,0.328052424,0.349108789,0.219982825,InfMac
HNRNPA1,1.277612677,2.39108E-69,3.9538054469313e-70,0.68325646,0.305166553,0.337430854,0.190498471,InfMac
RPL18A,1.276736816,1.7364E-285,3.5621E-287,2.117977396,0.875100506,0.600491703,0.298018778,InfMac
RPS19,1.272919141,0,0,2.317520825,1.11294942,0.641671789,0.405033932,InfMac
RPL35A,1.27168531,1.90462306471801e-320,0,1.992796277,0.870061314,0.602950215,0.328903488,InfMac
RPL39,1.268137641,0,0,2.425806227,1.068610948,0.626920713,0.337497029,InfMac
PTMA,1.251454695,4.2901E-276,9.5409E-278,1.972233796,0.868755784,0.629993854,0.368920855,InfMac
RPL32,1.251290184,0,0,2.399359654,1.15795352,0.633681623,0.404464628,InfMac
EIF3E,1.249959666,3.07157E-82,4.46956E-83,0.667901796,0.370790412,0.344806392,0.256563861,InfMac
SLC8A1,1.237089503,9.03847E-98,1.08995E-98,0.74942327,0.31368767,0.27228027,0.141174858,InfMac
RPL10,1.235328246,0,0,2.586083398,1.36677001,0.665642286,0.496809123,InfMac
