Cell_Type,Cluster,Percent,Overlap_genes,number_of_cluster_markers
PortalEndo,2,78.72,FLT1|LDB2|ST6GALNAC3|TCF4|CALCRL|PTPRB|HSPG2|HECW2|PLCB1|KALRN|EGFL7|DNASE1L3|BMPR2|IGFBP7|AKT3|ZEB1|PLPP1|LIFR|ST6GAL1|TIMP3|TACC1|NOSTRIN|BTNL9|RBMS3|ENG|PLPP3|ASAP1|HLA-E|CRIM1|PRSS23|PTPRG|EPAS1|TIMP1|TM4SF1|ID3|MEIS2|ID1,849
PortalHep,2,0,,849
Stellate,2,42.86,IGFBP7|LIFR|MYO10|COL4A2|RBMS3|GRK5|CRIM1|PTPRG|SORBS1,849
Bcells,3,0,,265
CentralHep,3,0,,265
Cholangiocyte,3,0,,265
cvLSECs,3,0,,265
Erythroid,3,0,,265
InfMac,3,1.52,NEAT1,265
InterHep,3,0,,265
NKTcell,3,3.85,MALAT1,265
NonInfMac,3,0,,265
PortalEndo,3,2.13,TM4SF1,265
PortalHep,3,5.26,NEAT1,265
Stellate,3,0,,265
Bcells,4,0,,711
CentralHep,4,2.44,GPC6,711
Cholangiocyte,4,7.55,ANK3|MAML2|GLIS3|SOX6,711
cvLSECs,4,11.43,LIFR|KALRN|MYO10|PLCB1,711
Erythroid,4,7.14,BNIP3L,711
InfMac,4,6.06,PLXDC2|ZEB2|VCAN|VIM,711
InterHep,4,5.26,GPC6,711
NKTcell,4,3.85,CELF2,711
NonInfMac,4,6.52,PLXDC2|ZEB2|CELF2,711
PortalEndo,4,25.53,RBMS3|IGFBP7|TIMP1|LIFR|CRIM1|KALRN|AKT3|PRSS23|ASAP1|MEIS2|BMPR2|PLCB1,711
PortalHep,4,0,,711
Stellate,4,80.95,RBMS3|CRISPLD2|IGFBP7|ADAMTS2|ANK3|DMD|CALD1|COL4A2|HGF|ARHGAP10|GRK5|GPC6|LIFR|CRIM1|MYO10|PTH1R|RBPMS,711
Bcells,5,97.92,EEF1A1|RPL3|RPL8|RPL29|RPLP0|RPL36|RPL35|RPS23|RPL18|RPL6|RPL9|RPL37|RPL18A|RPL7A|RPS17|RPS5|FAU|RPS20|RPS16|RPS7|RPS4X|RPL30|RPL15|NACA|RPL4|PTMA|RPL7|RPL14|RPS26|RPL11|RPL24|RPS21|RPL10A|RPL27|RPS3A|RPSA|RPL5|EEF1B2|RPS13|RPS25|RPL22|TOMM7|RPL31|CFL1|EEF1D|TMA7|TMSB4X,609
CentralHep,5,17.07,ORM1|C3|MGST1|SAA1|PLG|ADH1B|AGXT,609
Cholangiocyte,5,69.81,GAPDH|RPS18|EEF1A1|RPL41|RPL3|RPL8|RPL29|RPLP0|RPL35|RPS23|RPL18|RPL6|SERF2|RPL9|RPL37|RPS27A|RPL7A|RPS5|RPS7|RPS4X|COX7C|RPL15|NACA|RPL4|RPL7|RPL14|RPS8|RPS26|RPL11|RPL10A|RPS3|HINT1|RPS3A|NDUFA4|RPL5|RPS25|RPL22,609
cvLSECs,5,8.57,HSP90B1|PPIA|NDUFA4,609
Erythroid,5,7.14,UBB,609
InfMac,5,56.06,FTL|RPL13|RPL39|RPS2|RPS19|RPL28|RPS14|RPL10|RPL13A|RPL19|RPS15|RPS24|RPL18A|RPL32|RPS27|RPL34|ACTB|CYBA|COX7C|ACTG1|RPS9|RPL12|TMSB10|PTMA|RPS8|RPL35A|CST3|RPLP2|PPIA|B2M|SRP14|H3F3A|PSAP|CFL1|CEBPB|TMSB4X|S100A6,609
InterHep,5,36.84,APOA2|MT2A|MT1G|ALDOB|C3|PLG|AGXT,609
NKTcell,5,57.69,RPS27|COX4I1|COX7C|ACTG1|RPL4|TMSB10|UQCRB|RPS21|PPIA|RPS3|B2M|EEF1B2|CFL1|TMSB4X|HLA-A,609
NonInfMac,5,69.57,MT-ND5|GAPDH|RPL3|RPL29|RPLP0|RPL6|RPL7A|RPS17|RPS20|RPS7|COX4I1|RPL30|COX7C|ACTG1|NACA|RPL4|TMSB10|UQCRB|RPL14|RPS26|RPS21|RPL10A|PPIA|RPSA|RPL5|RPL22|PFN1|TOMM7|CFL1|EEF1D|TMSB4X|CTSB,609
PortalEndo,5,21.28,SERF2|IFITM3|COX7C|RPL4|UQCRB|HSP90B1|RPS3A|PFN1|TIMP1|TM4SF1,609
PortalHep,5,42.11,APOC1|FGB|ORM1|ALDOB|C3|SAA1|PLG|AGXT,609
Stellate,5,0,,609
Bcells,6,85.42,RPL35|EEF1A1|RPS23|RPL36|RPL8|RPL37|RPL29|RPL3|RPL18|RPL30|RPLP0|RPL18A|RPL7A|RPS16|RPS4X|RPS17|RPS20|RPL24|FAU|RPL7|RPL11|RPL6|RPL9|RPS21|NACA|RPL14|RPS5|RPL15|RPS13|PTMA|RPL27|RPS26|RPS3A|RPL4|RPS7|RPL10A|RPS25|RPSA|EEF1B2|RPL5|RPL31,297
CentralHep,6,12.2,ORM1|C3|MGST1|AGXT|SAA1,297
Cholangiocyte,6,67.92,GAPDH|RPL41|RPS18|RPL35|EEF1A1|SERF2|RPS23|RPL8|RPL37|RPL29|RPL3|RPL18|RPLP0|COX7C|RPS27A|RPL7A|RPS4X|RPL7|NDUFA4|RPL11|RPL6|RPL9|NACA|RPL14|RPS5|RPL15|RPS26|RPS3A|RPL4|RPS7|RPL10A|RPS8|RPS25|RPS3|HINT1|RPL5,297
cvLSECs,6,8.57,NDUFA4|PPIA|HSP90B1,297
Erythroid,6,7.14,UBB,297
InfMac,6,48.48,FTL|RPL39|RPL13|RPS2|RPS19|RPS15|RPS14|RPL10|RPL28|RPS24|RPL13A|RPL19|RPL32|RPS27|RPL34|COX7C|RPL18A|RPL12|ACTG1|TMSB10|RPL35A|B2M|ACTB|SRP14|RPS9|CST3|CYBA|PTMA|RPLP2|PPIA|RPS8|S100A6,297
InterHep,6,31.58,MT2A|APOA2|C3|ALDOB|MT1G|AGXT,297
NKTcell,6,46.15,RPS27|UQCRB|COX7C|ACTG1|TMSB10|COX4I1|B2M|RPS21|RPL4|PPIA|RPS3|EEF1B2,297
NonInfMac,6,54.35,GAPDH|RPL29|RPL3|RPL30|UQCRB|RPLP0|COX7C|RPL7A|MT-ND5|ACTG1|RPS17|RPS20|TMSB10|COX4I1|RPL6|RPS21|NACA|RPL14|RPS26|RPL4|RPS7|PPIA|RPL10A|RPSA|RPL5,297
PortalEndo,6,14.89,SERF2|IFITM3|UQCRB|COX7C|RPS3A|RPL4|HSP90B1,297
PortalHep,6,36.84,APOC1|FGB|ORM1|C3|ALDOB|AGXT|SAA1,297
Stellate,6,0,,297
Bcells,7,0,,1028
CentralHep,7,7.32,TPRG1|ACSL1|PID1,1028
Cholangiocyte,7,1.89,MAML2,1028
cvLSECs,7,11.43,MRC1|ANKS1A|ENG|STAB1,1028
Erythroid,7,0,,1028
InfMac,7,25.76,SLC8A1|ZEB2|TBXAS1|CD163|PLXDC2|AOAH|SRGN|SAT1|CD74|PSAP|SLC11A1|CTSS|TYROBP|LYZ|VIM|CYBA|VCAN,1028
InterHep,7,0,,1028
NKTcell,7,15.38,PTPRC|CELF2|ARHGAP15|PARP8,1028
NonInfMac,7,32.61,SLC8A1|ZEB2|KCNMA1|FMN1|MSR1|TBXAS1|CD163|PLXDC2|MERTK|CTSB|CELF2|MS4A6A|SAT1|C1QB|C1QA,1028
PortalEndo,7,4.26,ASAP1|ENG,1028
PortalHep,7,0,,1028
Stellate,7,9.52,ARHGAP10|ADAMTS2,1028
Bcells,8,0,,668
CentralHep,8,7.32,ABCC3|SHROOM3|SORBS2,668
Cholangiocyte,8,28.3,PKHD1|ANXA4|FGFR2|THSD4|ANK3|GLIS3|MAML2|SOX6|PTPRK|ABCC3|MAGI1|SLC17A4|SORBS2|NFIB|FARP1,668
cvLSECs,8,11.43,MYO10|TACC1|ACSM3|NTN4,668
Erythroid,8,0,,668
InfMac,8,0,,668
InterHep,8,5.26,SORBS2,668
NKTcell,8,3.85,PARP8,668
NonInfMac,8,0,,668
PortalEndo,8,6.38,CRIM1|TACC1|PTPRG,668
PortalHep,8,0,,668
Stellate,8,23.81,ANK3|MYO10|CRIM1|RBPMS|PTPRG,668
Bcells,9,2.08,TMSB4X,789
CentralHep,9,0,,789
Cholangiocyte,9,3.77,ANK3|MAML2,789
cvLSECs,9,2.86,ST6GAL1,789
Erythroid,9,0,,789
InfMac,9,7.58,AOAH|HLA-B|SRGN|B2M|TMSB4X,789
InterHep,9,0,,789
NKTcell,9,34.62,PTPRC|FYN|PARP8|ARHGAP15|CELF2|HLA-B|HLA-A|B2M|TMSB4X,789
NonInfMac,9,6.52,CELF2|MT-ND5|TMSB4X,789
PortalEndo,9,6.38,AKT3|HLA-E|ST6GAL1,789
PortalHep,9,0,,789
Stellate,9,4.76,ANK3,789
Bcells,10,0,,388
CentralHep,10,60.98,CYP3A4|CYP2B6|CYP3A5|CP|ABCB4|ACSL1|CUX2|ACSM2A|C3|ASGR1|MLXIPL|ADRA1A|SOX5|GPC6|TPRG1|ABCC3|CYB5A|ACSM2B|MAT1A|CYP2C8|CYP2C9|ECHDC2|SAA1|ALDH1L1|BHMT,388
Cholangiocyte,10,5.66,CYP3A5|ABCC3|FARP1,388
cvLSECs,10,0,,388
Erythroid,10,7.14,MAP2K3,388
InfMac,10,1.52,NEAT1,388
InterHep,10,57.89,CYP2B6|CYP3A5|CP|ACSM2A|C3|ASGR1|GPC6|CYB5A|ACSM2B|ECHDC2|ESR1,388
NKTcell,10,3.85,ID2,388
NonInfMac,10,0,,388
PortalEndo,10,4.26,EPAS1|PLPP3,388
PortalHep,10,63.16,CYP2B6|CYP3A5|CP|ACSM2A|C3|ASGR1|MLXIPL|NEAT1|ACSM2B|ECHDC2|ESR1|SAA1,388
Stellate,10,9.52,SOX5|GPC6,388
Bcells,11,0,,550
CentralHep,11,2.44,SOX5,550
Cholangiocyte,11,3.77,MAML2|ANK3,550
cvLSECs,11,11.43,DGKG|CD36|TACC1|KALRN,550
Erythroid,11,7.14,BNIP3L,550
InfMac,11,4.55,ZEB2|SLC8A1|VIM,550
InterHep,11,0,,550
NKTcell,11,3.85,MALAT1,550
NonInfMac,11,4.35,ZEB2|SLC8A1,550
PortalEndo,11,25.53,IGFBP7|RBMS3|AKT3|TCF4|PTPRG|ID3|TACC1|KALRN|PRSS23|ASAP1|TIMP1|CRIM1,550
PortalHep,11,0,,550
Stellate,11,71.43,CRISPLD2|COL4A2|IGFBP7|GRK5|CALD1|ARHGAP10|DMD|RBMS3|SOX5|PTPRG|RBPMS|ADAMTS2|ANK3|HGF|CRIM1,550
Bcells,12,4.17,PTMA|RPLP0,322
CentralHep,12,0,,322
Cholangiocyte,12,3.77,RPLP0|GAPDH,322
cvLSECs,12,2.86,PPIA,322
Erythroid,12,7.14,HBA2,322
InfMac,12,4.55,PPIA|PTMA|RPS2,322
InterHep,12,0,,322
NKTcell,12,3.85,PPIA,322
NonInfMac,12,6.52,PPIA|RPLP0|GAPDH,322
PortalEndo,12,0,,322
PortalHep,12,0,,322
Stellate,12,0,,322
Bcells,13,0,,685
CentralHep,13,0,,685
Cholangiocyte,13,7.55,THSD4|MAGI1|MAML2|NFIB,685
cvLSECs,13,40,ST6GALNAC3|STAB2|PPFIBP1|KALRN|LDB2|CD36|EGFL7|HECW2|MRC1|RELN|PTPRB|STAB1|TFPI|MIR99AHG,685
Erythroid,13,0,,685
InfMac,13,1.52,VIM,685
InterHep,13,0,,685
NKTcell,13,3.85,CELF2,685
NonInfMac,13,2.17,CELF2,685
PortalEndo,13,38.3,ST6GALNAC3|CALCRL|KALRN|LDB2|TCF4|EGFL7|HECW2|ASAP1|IGFBP7|PTPRB|AKT3|HSPG2|CRIM1|ZEB1|TFPI|PRSS23|TIMP3|HLA-E,685
PortalHep,13,0,,685
Stellate,13,14.29,IGFBP7|CRIM1|RBPMS,685
Bcells,14,4.17,TMSB4X|PTMA,1095
CentralHep,14,0,,1095
Cholangiocyte,14,5.66,NFIB|MAML2|MAGI1,1095
cvLSECs,14,42.86,EGFL7|PTPRB|LDB2|ST6GALNAC3|FLT1|ENG|NOSTRIN|HECW2|PLCB1|PREX2|KALRN|MYO10|DNASE1L3|PPFIBP1|ACSM3,1095
Erythroid,14,7.14,GYPC,1095
InfMac,14,13.64,VIM|LGALS1|HLA-B|TMSB4X|TMSB10|B2M|PTMA|ACTB|H3F3A,1095
InterHep,14,0,,1095
NKTcell,14,23.08,FYN|HLA-B|HLA-A|TMSB4X|TMSB10|B2M,1095
NonInfMac,14,4.35,TMSB4X|TMSB10,1095
PortalEndo,14,53.19,EGFL7|CALCRL|PTPRB|LDB2|ST6GALNAC3|FLT1|HSPG2|TCF4|AKT3|ENG|NOSTRIN|HECW2|PLCB1|RBMS3|IGFBP7|KALRN|ZEB1|HLA-E|BMPR2|DNASE1L3|ASAP1|ID3|PRSS23|TIMP3|PLPP3,1095
PortalHep,14,0,,1095
Stellate,14,23.81,GRK5|RBMS3|IGFBP7|COL4A2|MYO10,1095
Bcells,15,2.08,TMSB4X,825
CentralHep,15,0,,825
Cholangiocyte,15,5.66,MAML2|NFIB|MAGI1,825
cvLSECs,15,74.29,FLT1|ST6GALNAC3|LDB2|EGFL7|PTPRB|PREX2|HECW2|FCN2|ENG|KALRN|PLCB1|STAB1|DNASE1L3|BTNL9|NOSTRIN|OIT3|CRHBP|STAB2|MRC1|ST6GAL1|PPFIBP1|MYO10|TACC1|ACSM3|DGKG|LIFR,825
Erythroid,15,0,,825
InfMac,15,9.09,AOAH|HLA-B|SRGN|TMSB4X|B2M|VIM,825
InterHep,15,0,,825
NKTcell,15,34.62,PTPRC|FYN|CELF2|ARHGAP15|HLA-B|PARP8|HLA-A|TMSB4X|B2M,825
NonInfMac,15,4.35,CELF2|TMSB4X,825
PortalEndo,15,61.7,FLT1|ST6GALNAC3|LDB2|EGFL7|CALCRL|TCF4|PTPRB|HSPG2|HECW2|AKT3|ENG|KALRN|RBMS3|PLCB1|IGFBP7|DNASE1L3|BTNL9|ZEB1|ASAP1|NOSTRIN|HLA-E|TIMP3|PRSS23|BMPR2|ST6GAL1|PLPP3|TACC1|PLPP1|LIFR,825
PortalHep,15,0,,825
Stellate,15,28.57,RBMS3|IGFBP7|GRK5|COL4A2|MYO10|LIFR,825
