p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.8078381693389435e-200,0.9364597845360202,0.622,0.127,5.950860902013e-196,11,CDH13
5.2754969953558004e-197,0.5550057317466158,0.259,0.026,1.7365353459612687e-192,11,CHRM3-AS2
1.979923609010069e-195,1.1734850657078115,0.557,0.108,6.517314543778443e-191,11,PEG10
6.596015932902537e-195,1.0738620049584204,0.772,0.199,2.1712105646335282e-190,11,MEF2C
3.5661795012258223e-193,1.333800094749472,0.732,0.192,1.1738793064185038e-188,11,LINC02542
6.384733856349989e-191,0.9743507217811052,0.664,0.15,2.1016628434947257e-186,11,PTPRB
9.162734159475236e-189,0.9110890509160372,0.471,0.081,3.016097203274463e-184,11,LGR5
2.6873738534524084e-188,2.303686796299032,0.699,0.198,8.846028513409292e-184,11,MEG3
1.1985099942497142e-187,0.9525528583940666,0.417,0.065,3.945135348071784e-183,11,AL035401.1
8.800250526660205e-186,1.088375679098928,0.431,0.071,2.8967784658607395e-181,11,ANO2
1.0880576965401221e-183,0.6029987641078323,0.415,0.065,3.58155951970112e-179,11,FAM3B
3.7259116512323297e-183,2.1543782423406297,0.706,0.203,1.226458338236146e-178,11,MEG8
2.5228661335124836e-181,1.0040002549055316,0.506,0.097,8.304518451683042e-177,11,SULT1E1
3.407648942293525e-181,1.8303299784757503,0.66,0.173,1.1216958023347595e-176,11,AKR1C4
3.4574672647233413e-181,1.6832024679361708,0.653,0.169,1.1380944995289822e-176,11,SPP2
2.7429293589368935e-179,0.818264802752674,0.529,0.103,9.028900570812573e-175,11,PREX2
3.875936289867189e-177,0.5813228805955555,0.359,0.052,1.2758419485355826e-172,11,CROCC2
2.8417898062425942e-176,1.0769944953723336,0.485,0.093,9.354319505208748e-172,11,AC114316.1
1.0402639939856534e-174,1.2498160654903117,0.455,0.081,3.4242369890025756e-170,11,SGCZ
3.918932943795943e-173,0.5926999084248883,0.424,0.073,1.2899951571093104e-168,11,SLC5A4-AS1
6.604634022524949e-171,1.148737321851063,0.548,0.121,2.1740473811945374e-166,11,DPP4
4.052709954419564e-170,0.5897438661847085,0.45,0.079,1.334030535696288e-165,11,NOTCH4
1.5143285145473218e-168,1.0299164965358658,0.52,0.109,4.9847151713354195e-164,11,PIK3R3
3.585360049226641e-168,0.7889226654152625,0.564,0.12,1.1801929674039334e-163,11,ADGRL4
1.1477714401229763e-167,1.243875572405121,0.597,0.144,3.778119249452801e-163,11,CACNB4
2.662771073696695e-167,0.5775864613449724,0.415,0.07,8.765043543287412e-163,11,KDR
4.912460757782721e-167,0.6199715738640124,0.368,0.057,1.6170347076393384e-162,11,CYYR1
1.9385322655348345e-166,1.4090906593446064,0.667,0.181,6.381066658461015e-162,11,CD36
6.420962776665185e-166,0.5481871768409874,0.366,0.056,2.113588317194879e-161,11,IGF2BP1
1.810930320778665e-165,0.8219514056453421,0.639,0.154,5.961039336907131e-161,11,HSPG2
4.440188691019953e-165,1.5560922775103083,0.688,0.206,1.461576911423038e-160,11,CYP27A1
7.460542955280185e-165,1.0482797054392172,0.625,0.159,2.4557869245895783e-160,11,DNM3
2.020697824596537e-164,1.5608164724982707,0.748,0.24,6.651531029224422e-160,11,RHOBTB1
2.1299338384209034e-162,0.6467788908549202,0.485,0.094,7.011103215930088e-158,11,PPP1R16B
4.987866871730378e-162,0.8619858640384974,0.438,0.081,1.6418561381674885e-157,11,PCP4
5.561362668609603e-162,0.9545884392861732,0.457,0.088,1.8306337496262227e-157,11,TNFRSF19
7.619363164135248e-162,0.5069899909604192,0.319,0.045,2.5080657727383997e-157,11,SPINK5
2.0424332433732715e-161,1.1113698713468856,0.83,0.288,6.723077507211798e-157,11,PLEKHG1
2.872913845396791e-161,1.601965468095374,0.825,0.314,9.456770504892617e-157,11,ARHGEF28
8.225248200885198e-158,1.3429339716013,0.618,0.163,2.7075049502853807e-153,11,PPP1R1C
4.537696965673042e-155,0.9528593995038237,0.58,0.142,1.4936737101905953e-150,11,VAV3
2.4480816078166875e-154,1.0823111433596146,0.545,0.126,8.05835022845019e-150,11,LINC01344
4.2688473457340145e-153,0.7925056137623412,0.494,0.102,1.4051764807952655e-148,11,AC090015.1
1.1849355170932689e-152,0.8378508152356428,0.476,0.098,3.9004522416159135e-148,11,MIR4713HG
3.198288789757793e-151,1.1472415233064186,0.354,0.058,1.0527807209245729e-146,11,CPA6
1.3775931587547248e-150,1.1776001229421822,0.583,0.153,4.534623400672928e-146,11,ELOVL2
3.864467002907847e-150,1.1369813619129845,0.634,0.174,1.2720666033471761e-145,11,SNAP25-AS1
4.074143926719426e-150,0.9427282827670643,0.443,0.088,1.3410859563582336e-145,11,CCDC148
1.2121365570298783e-149,0.7269972569092373,0.469,0.095,3.9899899047752504e-145,11,DLK1
2.993610723111431e-149,1.6078329380676166,0.788,0.278,9.854068417265897e-145,11,GPC5
